index,relaxed_time,physical_time,piece,step,impact,s,event
5779,79.59149887145685,34.59149887145684,arc,45,46,0.0,flow
5780,79.60149887145684,34.60149887145685,arc,45,46,0.0,flow
5781,79.61149887145685,34.611498871456845,arc,45,46,0.0,flow
5782,79.61968946069705,34.619689460697046,arc,45,46,0.0,pre_impact
5783,79.63968946069704,34.619689460697046,bridge,45,46,0.02,bridge
5784,79.65968946069705,34.619689460697046,bridge,45,46,0.04,bridge
5785,79.67968946069705,34.619689460697046,bridge,45,46,0.06,bridge
5786,79.69968946069704,34.619689460697046,bridge,45,46,0.08,bridge
5787,79.71968946069704,34.619689460697046,bridge,45,46,0.1,bridge
5788,79.73968946069705,34.619689460697046,bridge,45,46,0.12,bridge
5789,79.75968946069705,34.619689460697046,bridge,45,46,0.14,bridge
5790,79.77968946069704,34.619689460697046,bridge,45,46,0.16,bridge
5791,79.79968946069705,34.619689460697046,bridge,45,46,0.18,bridge
5792,79.81968946069705,34.619689460697046,bridge,45,46,0.2,bridge
5793,79.83968946069704,34.619689460697046,bridge,45,46,0.22,bridge
5794,79.85968946069704,34.619689460697046,bridge,45,46,0.24,bridge
5795,79.87968946069705,34.619689460697046,bridge,45,46,0.26,bridge
5796,79.89968946069705,34.619689460697046,bridge,45,46,0.28,bridge
5797,79.91968946069704,34.619689460697046,bridge,45,46,0.3,bridge
5798,79.93968946069704,34.619689460697046,bridge,45,46,0.32,bridge
5799,79.95968946069705,34.619689460697046,bridge,45,46,0.34,bridge
5800,79.97968946069705,34.619689460697046,bridge,45,46,0.36,bridge
5801,79.99968946069704,34.619689460697046,bridge,45,46,0.38,bridge
5802,80.01968946069705,34.619689460697046,bridge,45,46,0.4,bridge
